developer_researcher,stage_of_development,product_category,country_name,ioc_country_code,date_last_updated,anticipated_next_steps,funder
ISR Immune System Regulation,Pre-clinical,Unknown,Sweden,SWE,Prior to 4/20/2020,"Animal study results expected in Q2 2020, Phase I begins Q4 2020",Unknown
"Israel
  Institute for Biological Research/ Weizmann Institute of Science",Phase I/II,Replicating viral vector,Israel,ISR,5/14/2021,Phase III expected to begin spring 2021; Phase I began November 2020 and Phase II began December 2020,Unknown
Izmir Biomedicine and Genome Center,Pre-clinical,Protein subunit,Turkey,TUR,7/9/2020,Unknown,Unknown
Janssen Pharmaceutical Companies/ Beth Israel Deaconess Medical Center/ Emergent BioSolutions/ Catalent/ Biological E/ Grand River Aseptic Manufacturing (GRAM)/ Sanofi/ Merck,Authorized,Non-replicating viral vector,United States,USA,7/29/2021,"Phase I/IIa sub-study results published 7/14/2021; Johnson & Johnson statement on COVID-19 vaccine released 7/12/2021; Data on neutralizing activity against emerging variants announced 7/1/2021; U.K. MHRA granted ""conditional marketing authorization"" on 5/28/2021; CDC and FDA lift recommended pause on vaccine use in U.S. on 4/23/2021; Phase III ENSEMBLE primary data published on 4/21/2021; CDC and FDA recommended a pause on vaccine use in the U.S. as of 4/13/2021; Phase IIa trial expanded to include adolescents 12-17 years of age as of 4/2/2021; WHO issued ""emergency use listing"" on 3/12/2021; Granted Conditional Marketing Authorization by European Commission on 3/11/2021; Granted ""Interim Order (IO) authorization"" for emergency use by Health Canada on 3/5/2021; U.S. CDC's Advisory Committee on Immunization Practices (ACIP) has recommended the first single-shot COVID-19 vaccine for individuals 18 years of age and older on 2/28/2021; U.S. FDA issued ""emergency use authorization"" on 2/27/2021; Submitted ""emergency use listing"" to the World Health Organization (WHO) on 2/19/2021; Submitted ""conditional marketing authorisation application"" to the European Medicines Agency (EMA) on 2/16/2021; Janssen submitted application for ""emergency use authorization"" to the U.S. FDA on 2/4/2021; Phase III interim analysis results announced 1/29/2021; Phase I/IIa interim results published 1/13/2021; Phase III trial to study the safety and efficacy of a two-dose regimen began 11/15/2020 (ENSEMBLE 2); Phase III trial (ENSEMBLE) resumed recruitment on 10/23/2020, fully enrolled with ~45,000 participants as of 12/17/2020, interim data expected by the end of January 2021; Janssen Pharmaceutical Companies of Johnson & Johnson voluntarily paused dosing to allow independent review of safety data on 10/12/2020; Phase III trial (ENSEMBLE) began and study protocol released September 2020; Phase I/IIa began end of July 2020, interim results released September 2020; Animal study results published July and September 2020; Selected for US Operation Warp Speed in February 2020 and awarded funding in August 2020",Biomedical Advanced Research and Development Authority (BARDA)
Kazakh National Agrarian University,Pre-clinical,Protein subunit,Kazakhstan,KAZ,11/10/2020,Unknown,Unknown
"Kazakh National Agrarian University, Kazakhstan/ National Scientific Center for Especially Dangerous Infections",Pre-clinical,Protein subunit,Kazakhstan,KAZ,11/10/2020,Unknown,Unknown
Kentucky BioProcessing (British American Tobacco),Phase I/II,Protein subunit,United States,USA,5/31/2021,"Phase I/II began recruiting December 2020, results expected mid-2021",Unknown
KM Biologics,Phase I/II,Inactivated virus,Japan,JAP,5/31/2021,Phase I/II study began March 2021,Unknown
Kocak Farma Ilac ve Kimya San. A.S.,Phase I,Inactivated virus,Turkey,TUR,4/30/2021,Phase I began March 2021,Unknown
KU Leuven,Pre-clinical,Replicating viral vector,Belgium,BEL,5/4/2020,Unknown,Unknown
"Laboratorio Avi-Mex/ National Council of Science and Technology, Mexico/ Agencia Mexicana de Cooperación Internacional para el Desarrollo (AMEXID)",Phase I,Inactivated virus,,,6/30/2021,Phase I began May 2021,Unknown
"LakePharma, Inc.",Pre-clinical,Protein subunit,United States,USA,5/4/2020,Unknown,Unknown
Lomonosov Moscow State University,Pre-clinical,Protein subunit,Russia,RUS,5/27/2020,Unknown,Unknown
Mahidol University/ The Government Pharmaceutical Organization (GPO)/ Icahn School of Medicine at Mount Sinai,Phase I/II,Replicating viral vector,Thailand,THA,3/28/2021,Phase I/II began March 2021,Unknown
Mahidol University/ The Government Pharmaceutical Organization (GPO)/ Siriraj Hospital,Pre-clinical,Virus-like particle,Thailand,THA,6/30/2020,Unknown,Unknown
"Massachusetts Eye and Ear/ AveXis, a Novartis Company/  Viralgen/ Aldevron/ Catalent/ Penn Medicine",Pre-clinical,Non-replicating viral vector,United States,USA,1/29/2021,Pre-clinical results released January 2021; Phase I to begin second half of 2020,Gates Foundation
Max-Planck Institute for Dynamics of Complex Technical Systems,Pre-clinical,Virus-like particle,Germany,GER,11/9/2020,Unknown,Unknown
Max-Planck Institute of Colloids and Interfaces,Pre-clinical,Protein subunit,Germany,GER,11/10/2020,Unknown,KHAN-1 Technology Transfer Fund I GmbH & Co KG
Max-Planck Institute of Colloids and Interfaces,Pre-clinical,RNA-based vaccine,Germany,GER,11/9/2020,Unknown,KHAN-1 Technology Transfer Fund I GmbH & Co KG
"Medicago
  Inc./ GSK",Pre-clinical,Virus-like particle,Canada,CAN,7/14/2020,Unknown,Unknown
Medicago Inc./ Dynavax,Pre-clinical,Virus-like particle,Canada,CAN,7/10/2020,Phase I to start mid-July 2020,Unknown
Medicago Inc./ GlaxoSmithKline,Phase II/III,Virus-like particle,Canada,CAN,5/24/2021,Phase II interim results released May 2021; Health Canada initiated review of the Interim Order (IO) rolling submission on 4/19/2021; Phase III portion of the ongoing Phase II/III trial began March 2021;Phase II portion of the Phase II/III trial dosed December 2020; Phase II/III began recruiting November 2020; Phase I interim results released November 2020; Phase I began July 2020,Unknown
Medigen Vaccine Biologics Corp/ NIAID/ Dynavax,Phase II,Protein subunit,United States,USA,7/29/2021,"Phase III expected to complete the recruitment (1,000 participants) by Q3 2021; Taiwan granted EUA approval on 7/19/2021, clinical trials are ongoing; Phase II interim analysis results released 6/10/21; Phase II study in elderly adults (65 years and older) began May 2021; Booster trial with third dose began May 2021; Phase II second dose vaccination completed on 4/28/2021; Phase I interim analysis results announced 4/7/2021; Phase II dosed January 2021; Phase I dosed in early October 2020; Received conditional approval for clinical testing on Aug 31 and was given full approval on Sept 30; Pre-clinical data released August 2020 and published November 2020",Unknown
Mediphage Bioceuticals/ University of Waterloo/ Lambton College,Pre-clinical,DNA-based,Canada,CAN,9/23/2020,Unknown,Unknown
Mehmet Ali Aydinlar University/ Acıbadem Labmed Health Services A.S.,Pre-clinical,Live attenuated virus,Turkey,TUR,7/9/2020,Unknown,Unknown
Meissa Vaccines ,Phase I,Live attenuated virus,United States,USA,5/17/2021,Phase I enrollment began March 2021,Unknown
MIGAL Galilee Research Institute,Pre-clinical,Protein subunit,Israel,ISR,Prior to 4/20/2020,Unknown,Unknown
Moderna/ National Institute of Allergy and Infectious Diseases (NIAID)/ Biomedical Advanced Research and Development Authority (BARDA)/ Lonza/ Catalent/ Rovi/ Medidata/ BIOQUAL/ Baxter BioPharma Solutions/ Sanofi/ Recipharm,Authorized,RNA-based vaccine,United States,USA,7/6/2021,"India granted ""Emergency Use Authorization"" on 6/29/2021; Clinical update on mRNA-1273's neutralizing activity against emerging variants announced 6/29/2021; Submitted authorization application to Swissmedic for use in adolescents on 6/14/2021; Filed for authorization with U.S. FDA for use in adolescents (12-18 years of age) on 6/10/2021; Filed for authorization with Health Canada for use in adolescents on 6/7/2021; Filed for conditional marketing approval (CMA) with the European Medicines Agency (EMA) for use in adolescents on 6/7/2021; Initiated rolling submission process with the U.S. FDA for a Biologics License Application (BLA) on 6/1/2021; Phase II/III study in adolescents met its primary immunogenicity endpoint as of 5/25/2021, data is expected to be submitted to regulators globally in early June 2021; Phase II initial booster data against variants announced 5/5/2021; World Health Organization (WHO) granted Emergency Use Listing (EUL) on 4/30/2021; Antibody persistence data published 4/6/2021; Phase II/III study (KidCOVE) dosed in pediatric population less than 12 years of age on 3/16/2021; Phase I study of next generation COVID-19 vaccine candidate, mRNA-1283, dosed on 3/15/2021; First participants dosed with modified COVID-19 vaccines, designed to address the potential need for booster vaccine candidates, in an amendment to the ongoing Phase II clinical study on 3/10/21; Provided strategy update for addressing SARS-CoV-2 variants of concern, including a variant-specific booster candidate (mRNA-1273.351) based on the B.1.351 variant first identified in the Republic of South Africa, on 2/24/2021; Results from an in vitro study on neutralization of variants of SARS-CoV-2 by mRNA-1273 vaccine-elicited sera announced January 2021; Phase I/II dosed in Japan (TAK-919) on 01/21/2021; Switzerland ""authorized"" on 01/12/2021; U.K. MHRA granted ""temporary authorization"" on 01/08/2021; European Commission granted a ""conditional marketing authorization"" on 01/06/2021; Israel granted ""authorization to import"" on 01/04/2021; Phase III interim safety and primary efficacy results published on 12/30/2020; Health Canada ""authorized"" on 12/23/2020; U.S. FDA issued ""emergency use authorization"" on 12/18/2020; Phase II/III study in adolescents ages 12 to less than 18 dosed on 12/10/2020; Submitted Emergency Use Authorization (EUA) request to the U.S. FDA on 11/30/2020; Phase III primary efficacy analysis results announced 11/30/2020; European Medicines Agency (EMA) started rolling review on 11/17/2020; Phase III interim analysis results announced 11/16/2020; Swissmedic started rolling review on 11/13/2020; UK Medicines and Healthcare products Regulatory Agency (MHRA) started rolling review on 10/27/2020; EMA confirmed marketing authorization submission eligibility on 10/14/2020; Health Canada rolling submission initiated on 10/13/2020; Study protocol for late-stage clinical trials released September 2020; Phase I interim data from older adult cohorts released Aug 2020 and published Sep 2020; Phase III COVE study began July 2020, completed enrollment on 10/22/2020; Animal study results published July/Aug 2020; Phase I interim results published July 2020; FDA fast track designation granted May 2020; Selected for US Operation Warp Speed in April 2020",Coalition for Epidemic Preparedness (CEPI)/ Biomedical Advanced Research and Development Authority (BARDA)
Moderna/National Institute of Allergy and Infectious Diseases (NIAID),Phase I,RNA-based vaccine,United States,USA,7/6/2021,Initial booster data announced May 2021; Phase I began March 2021,Unknown
"ModernaTX, Inc.",Phase II/III,RNA-based vaccine,United States,USA,6/30/2021,Phase II/III began May 2021,Unknown
"ModernaTX, Inc.",Phase I,RNA-based vaccine,United States,USA,7/6/2021,"Phase I study of next generation COVID-19 vaccine candidate, mRNA-1283, dosed March 2021",Unknown
"MOGAM Institute for Biomedical Research, GC Pharma",Pre-clinical,Protein subunit,South Korea,KOR,11/16/2020,Unknown,Unknown
Monash Institute of Pharmaceutical Sciences (MIPS)/ Peter Doherty Institute for Infection and Immunity (Doherty Institute),Pre-clinical,RNA-based vaccine,Australia,AUS,7/29/2021,Phase I expected to begin October 2021; Preliminary trial results are expected in the first half of 2022,"mRNA Victoria, the agency of the Australian State of Victoria Government"
Mynvax,Pre-clinical,Protein subunit,India,IND,7/15/2020,Unknown,Unknown
Nanogen Pharmaceutical Biotechnology,Phase III,Protein subunit,Vietnam,VIE,6/18/2021,Phase III began June 2021; Phase II began February 2021; Phase I began December 2020,Unknown
"National Research Centre, Egypt",Pre-clinical,DNA-based,Egypt,EGY,6/30/2020,Unknown,Unknown
"National Research Centre, Egypt",Pre-clinical,Non-replicating viral vector,Egypt,EGY,6/30/2020,Unknown,Unknown
"National Research Centre, Egypt",Pre-clinical,Protein subunit,Egypt,EGY,6/30/2020,Unknown,Unknown
"National Center for Genetic Engineering and Biotechnology (BIOTEC)/ GPO, Thailand",Pre-clinical,Non-replicating viral vector,Thailand,THA,6/1/2020,Unknown,Unknown
"National Institute of Chemistry, Slovenia",Pre-clinical,DNA-based,Slovenia,SLO,11/9/2020,Unknown,Unknown
"National Research Centre, Egypt",Pre-clinical,Inactivated virus,Egypt,EGY,6/30/2021,Pre-clinical study results published March 2021,Unknown
"National Vaccine and Serum Institute, China",Phase I/II,Protein subunit,China,CHN,6/30/2021,Phase I/II began recruiting April 2021,Unknown
"Navarrabiomed, Oncoimmunology group",Pre-clinical,Virus-like particle,Spain,ESP,6/1/2020,Unknown,Unknown
Neo7Logix,Pre-clinical,Protein subunit,United States,USA,11/16/2020,Unknown,Unknown
Neovii/Tel Aviv University,Pre-clinical,Protein subunit,Israel,ISR,5/19/2020,Unknown,Unknown
NidoVax,Pre-clinical,Unknown,United States,USA,6/18/2020,Unknown,Unknown
Novavax/Emergent Biosolutions/ Praha Vaccines/ Biofabri/ Fujifilm Diosynth Biotechnologies/ FDB/ Serum Institute of India/ SK bioscience/ Takeda Pharmaceutical Company Limited/ AGC Biologics/ PolyPeptide Group/ Endo,Phase III,Protein subunit,United States,USA,7/6/2021,"Phase III (U.K. trial) final analysis results published 6/30/2021; Phase III efficacy data released 6/14/2021; Updated PREVENT-19 trial protocol released on 5/10/2021; Announced preclinical data from NanoFlu/NVX-CoV2373 combination vaccine study on 5/10/2021; Initiated a pediatric expansion (12-17 years of age) of its Phase III clinical trial on 5/3/2021; Announced participation in Phase II clinical trial called ""Comparing COVID-19 Vaccine Schedule Combinations – Stage 2"" (Com-COV2) on 4/14/2021; Announced the initiation of crossover arms in two ongoing clinical trials on 4/5/2021; Phase III (UK) and Phase IIb ( South Africa) final efficacy results released 3/11/2021; Phase I/II trial dosed in Japan on 2/26/2021; Phase III trial (PREVENT-19) completed enrollment in the US and Mexico on 2/22/2021; Announced the start of the rolling review process with several regulatory agencies worldwide on 2/4/2021, including the European Medicines Agency (EMA), U.S. Food and Drug Administration (FDA), U.K. Medicines and Healthcare products Regulatory Agency (MHRA), and Health Canada; Phase III (UK) and Phase IIb ( South Africa) interim results released 1/28/2021; Phase III trial (PREVENT-19) initiated in the US and Mexico in December 2020, trial protocol released on website; FDA granted Fast Track Designation on 11/9/2020; Phase III dosed in the UK in October 2020, trial protocol released on website, interim data expected to be released in Q1 2021; Phase IIb trial began Aug 2020; Selected for US Operation Warp Speed July 2020; Phase I/II began end of May 2020, interim data expected to be released on 10/30/2020; Animal study & preliminary Phase I results released Aug 2020, Phase I results published Sept 2020",Coalition for Epidemic Preparedness (CEPI)/ US Department of Defense/ Gates Foundation
Ohio State University/ Kazakh National Agrarian University,Pre-clinical,Protein subunit,Kazakhstan,KAZ,11/10/2020,Unknown,Unknown
OncoGen,Pre-clinical,Protein subunit,Romania,ROU,Prior to 4/20/2020,Unknown,Unknown
OncoSec Medical Incorporated / Providence Cancer Institute,Phase I,DNA-based,United States,USA,2/2/2021,Phase I dosed January 2021,Unknown
OPENCORONA Project: Karolinska Institute/ Justus Liebig University Giessen/ Public Health Agency of Sweden (FoHM)/ IGEA/ Cobra Biologics/ Adlego Biomedical/ Region Stockholm,Pre-clinical,DNA-based,Sweden,SWE,9/23/2020,Phase I expected to begin in 2020,European Commission (Horizon 2020 Program)
Oragenics (Noachis Terra)/ Aragen Bioscience,Pre-clinical,Unknown,United States,USA,9/28/2020,Phase I expected to start in early 2021,Unknown
"Osaka University / BIKEN / National Institutes of Biomedical Innovation, Japan",Pre-clinical,Protein subunit,Japan,JAP,Prior to 4/20/2020,Unknown,Unknown
Osaka University / BIKEN / NIBIOHN,Pre-clinical,Inactivated virus,Japan,JAP,Prior to 4/20/2020,Unknown,Unknown
Osaka University/ AnGes/ Takara Bio/ Cytiva/ Brickell Biotech,Phase II/III,DNA-based,Japan,JPN,1/31/2021,"Phase II/III trial began December 2020; Pre-clinical study results released October 2020; Phase I/II trials began end of June (AG0301) and August (AG0302) 2020, results expected during Q1 2021",Unknown
OSE  Immunotherapeutics/ Cenexi,Phase I,Protein subunit,France,FRA,7/6/2021,Phase I began May 2021; Pre-clinical results  released in August 2020,Unknown
OSIVAX,Pre-clinical,Virus-like particle,France,FRA,7/9/2020,Unknown,European Innovation Council (EIC)
PDS Biotechnology,Pre-clinical,Protein subunit,United States,USA,6/30/2021,Phase I/II is expected to to begin by Q2/3 2021,"The Ministry of Science, Technology and Innovation of Brazil (MCTI)"
People's Liberation Army (PLA) Academy of Military Sciences/ Walvax Biotech,Phase II,RNA-based vaccine,China,CHN,4/30/2021,Phase III expected to begin late May 2021; Phase II began January 2021; Phase Ib began end of October 2020; Pre-clinical results published September 2020; Phase I trial began end of June 2020,Unknown
Precision Vaccines Program at Boston Children's Hospital,Pre-clinical,Unknown,United States,USA,Prior to 4/20/2020,Unknown,Unknown
Providence Therapeutics Holdings Inc.,Phase I,RNA-based vaccine,Canada,CAN,5/28/2021,Phase II expected to begin June 2021; Pre-clinical results released May 2021; Phase I interim data announced May 2021; Phase I dosed January 2021,Unknown
Quadram Institute Biosciences,Pre-clinical,Protein subunit,Great Britain,GBR,5/12/2020,Unknown,Unknown
Radboud University,Phase I,Virus-like particle,Netherlands,NED,4/30/2021,Phase I of I/II study began March 2021,Unknown
Razi Vaccine and Serum Research Institute,Phase II,Protein subunit,Iran,IRI,6/18/2021,Phase II began April 2021; Phase I began February 2021,Unknown
ReiThera/ Leukocare/ Univercells/ National Institute of Infectious diseases Lazzaro Spallanzani,Phase II/III,Non-replicating viral vector,Italy,ITA,7/19/2021,"Phase II preliminary data announced July 2021; Phase II/III (COVITAR) study began March 2021; Phase I advanced to second set of three cohorts (aged 65-85 years) in November 2020; Phase I began August 2020, completed the first set of three cohorts (aged 18-55 years), preliminary results announced November 2020",Unknown
"Research Institute for Biological Safety Problems, Rep of Kazakhstan",Pre-clinical,Protein subunit,Kazakhstan,KAZ,8/3/2020,Unknown,Unknown
"Research Institute for Biological Safety Problems, Republic of Kazakhstan",Phase III,Inactivated virus,Kazakhstan,KAZ,4/28/2021,"Kazakhstan lauched nationwide vaccine roll out as of 4/27/2021; Kazakhstan granted ""temporary registration for nine months"" as of 1/13/2021; Phase III began December 2020; Phase I/II began September 2020",Unknown
"RNAimmune, Inc.",Pre-clinical,RNA-based vaccine,United States,USA,5/4/2020,Unknown,Unknown
Saiba GmbH,Pre-clinical,Virus-like particle,Switzerland,SUI,Prior to 4/20/2020,Unknown,Unknown
Sanofi Pasteur/ GSK,Phase III,Protein subunit,France,FRA,7/29/2021,EMA began rolling review on 7/20/2021; Phase III began end of May 2021; Phase II interim results released May 2021; Phase II with refined antigen formulation began February 2021; Phase I/II interim safety and immunogenicity results released January 2021; Phase IIb expected to begin February 2021; Phase I/II interim results announced December 2020; Phase I/II began September 2020; Selected for US Operation Warp Speed in April 2020 and awarded funding in July 2020,Biomedical Advanced Research and Development Authority (BARDA)/ US Department of Health and Human Services (HHS)/ US Department of Defense (DoD)
Sanofi Pasteur/ Translate Bio,Phase I/II,RNA-based vaccine,France,FRA,3/28/2021,"Phase I/II began March 2021, interim results expected in 3Q 2021; Pre-clinical results released October 2020",Unknown
Scancell/ University of Nottingham/ Nottingham Trent University,Pre-clinical,DNA-based,Sweden,SWE,1/19/2021,Phase I COVIDITY clinical trial expected to start as soon as possible during 2021,Unknown
Scientific and Technological Research Council of Turkey (TUBITAK),Phase I,Inactivated virus,Turkey,TUR,4/30/2021,Phase I began end of April 2021,Unknown
Scientific and Technological Research Council of Turkey (TÜBITAK)/ Middle East Technical University/ Bilkent University,Phase I,Virus-like particle,Turkey,TUR,4/28/2021,Phase II expected to begin early June 2021; Phase I dosed end of March 2021,Unknown
Selcuk University,Pre-clinical,Inactivated virus,Turkey,TUR,9/23/2020,Unknown,Unknown
Selcuk University,Pre-clinical,RNA-based vaccine,Turkey,TUR,7/9/2020,Unknown,Unknown
SENAI CIMATEC/ HDT Bio Corp,Pre-clinical,RNA-based vaccine,Brazil,BRA,7/6/2021,Phase I expected to begin July 2021,Unknown
Serum Institute of India/ Accelagen Pty/ SpyBiotech,Phase I/II,Virus-like particle,India,IND,1/31/2021,Phase I of follow up Phase I/II clinical trial adjuvanted with CpG 1018 dosed December 2020; Phase I/II began September 2020,Unknown
Shenzhen Geno-Immune Medical Institute,Phase I/II,Non-replicating viral vector,China,CHN,1/31/2021,Phase I/II reportedly began March 2020,Unknown
Shenzhen Geno-Immune Medical Institute,Phase I,Replicating viral vector,China,CHN,1/31/2021,Phase I reportedly began February 2020,Unknown
"Shenzhen Kangtai Biological Products Co.,Ltd./ Beijing Minhai Biotechnology Co., Ltd.",Phase III,Inactivated virus,China,CHN,6/22/2021,"Phase III began June 2021; Received early approval for ""emergency use"" in China in May 2021; Phase I/II results announced April 2021; Phase I/II study began October 2020",Unknown
Shifa Pharmed Industrial Co,Phase II/III,Inactivated virus,Iran,IRI,3/18/2021,Iran granted emergency use authorization on 6/14/2021; Phase II/III trial in adults 18-75 years of age began March 2021; Phase I trial in adults 51-75 years of age began March 2021; Phase I trial in adults 18-50 years of age began December 2020,Unknown
"Shionogi & Co., Ltd./ National Institute of Infectious Disease, Japan",Phase I/II,Protein subunit,Japan,JAP,1/5/2021,Phase I/II began December 2020,Japan Agency for Medical Research and Development
Sinovac/ Dynavax,Pre-clinical,Inactivated virus,China,CHN,4/28/2020,Unknown,Unknown
Sinovac/ Instituto Butantan/ Bio Farma,Phase III,Inactivated virus,China,CHN,7/6/2021,"Phase I/II clinical trials results in healthy children and adolescents aged 3-17 in China published 6/28/2021; World Health Organization (WHO) granted Emergency Use Listing (EUL) on 6/1/2021; Summary of clinical trial data released on 4/3/2021; Emergency use approval, or conditional marketing authorization, has been granted by over 30 countries as of 4/1/2021; Malaysia granted ""conditional approval"" on 3/2/2021; China's NMPA granted ""conditional marketing authorization"" on 2/8/2021; Phase III results (Brazil, Turkey, Indonesia, Chile) announced on 2/5/2021; Phase I/II safety, tolerability, and immunogenicity data in adults aged 60 years and older published on 2/3/2021; Sinovac filed for ""conditional market authorization"" with China’s National Medical Products Administration (NMPA) on 2/3/2021; Chile granted ""emergency use"" approval on 1/20/2021; Brazil granted ""temporary authorization for emergency use"" on 1/17/2021; Turkey granted ""emergency use authorization"" on 1/31/2021; Indonesia granted ""emergency use approval"" on 01/11/2021; Phase III efficacy results (Brazil) released early January 2021; Phase I/II complete analysis results published 11/17/2020; Phase III trial resumed in Brazil on 11/11/2020, Phase III trial suspended in Brazil on 11/09/2020; Received approval for Phase I/II trial in adolescents and children in September 2020; Phase III trial began end of July 2020; Phase II began June 2020, mid-phase II results released August 2020; Preliminary results from Phase I/II trials released June and September 2020 (aged 60+) 2020; Received early approval for ""emergency use"" in China (Aug 2020)",Unknown
SK Biosciences/ GSK/ Institute for Protein Design (IPD) at the University of Washington (UW),Phase I/II,Protein subunit,United States,USA,5/27/2021,Phase III IND is expected to be submitted  to the Korean Ministry of Food and Drug Safety within next month (as of May 2021); Phase I/II began February 2021,Gates Foundation/ Coalition for Epidemic Preparedness (CEPI)
Soligenix/ University of Hawaii at Mānoa,Pre-clinical,Protein subunit,United States,USA,8/27/2020,Pre-clinical testing results released in July 2020,"Soligenix, Inc."
Sorrento Therapeutics,Pre-clinical,Protein subunit,United States,USA,8/17/2020,Animal study results released July 2020,Unknown
St. Petersburg Scientific Research Institute of Vaccines and Serums,Pre-clinical,Protein subunit,Russia,RUS,Prior to 4/20/2020,Unknown,Unknown
"Statens Serum Institute, Denmark",Pre-clinical,DNA-based,Denmark,DEN,11/16/2020,Phase I is expected to start in late 2020 or early 2021,Folketing's Finance Committee
Symvivo,Phase I,DNA-based,Canada,CAN,7/29/2021,Phase I dosed November 2020,National Research Council of Canada Industrial Research Assistance Program (NRC IRAP)
Takis/ Applied DNA Sciences/ Evvivax/ Rottapharm Biotech,Phase I/II,DNA-based,United States,USA,3/28/2021,"Phase I/II began March 2021, announced the authorization of the clinical trial by the Italian Medicines Agency (AIFA) on 2/3/2021; Pre-clinical results released in May and July 2020",Unknown
Tampere University,Pre-clinical,Protein subunit,Finland,FIN,11/10/2020,Unknown,Unknown
Tampere University,Pre-clinical,Virus-like particle,Finland,FIN,11/9/2020,Unknown,Unknown
Tetherex Pharmaceuticals Corporation,Pre-clinical,Non-replicating viral vector,Great Britain,GBR,4/30/2021,Phase I expected to begin June 2021,Unknown
"The Lancaster University, UK",Pre-clinical,Replicating viral vector,Great Britain,GBR,5/19/2020,Unknown,Unknown
The University of Hong Kong/ Xiamen University/ Wantai Biological Pharmacy,Phase I/II,Replicating viral vector,China,CHN,4/12/2021,Phase I expected to begin in Hong Kong in April 2021; Phase I/II began in China during Fall 2020; Approved for clinical trials in September 2020,Coalition for Epidemic Preparedness (CEPI)
Tonix Pharma / Southern Research,Pre-clinical,Replicating viral vector,United States,USA,6/30/2021,Phase I expected to begin during second half of 2021; Preliminary pre-clinical results reported on 3/17/2021,Unknown
Tulane University,Pre-clinical,Unknown,United States,USA,Prior to 4/20/2020,Unknown,Unknown
UMN Pharma (Shionogi),Pre-clinical,Protein subunit,Japan,JAP,5/10/2020,Phase I to start by end of 2020,Japan Agency for Medical Research and Development
United Biomedical (UBI)/ c19,Pre-clinical,Unknown,United States,USA,9/2/2020,,Unknown
University Hospital Tuebingen,Phase I,Protein subunit,Germany,GER,2/27/2021,Phase I began December 2020,Unknown
University Medical Center Groningen/ Akston Biosciences Corporation/ LakePharma,Phase I/II,Protein subunit,United States,USA,4/13/2021,Phase I/II dosed April 2021,Unknown
University of Alberta,Pre-clinical,Protein subunit,Canada,CAN,Prior to 4/20/2020,Unknown,Unknown
"University of California, Los Angeles (Horwitz Lab)",Pre-clinical,Replicating bacterial vector,United States,USA,5/10/2020,Unknown,Unknown
"University of California, San Diego",Pre-clinical,Protein subunit,United States,USA,4/28/2020,Unknown,National Science Foundation (Rapid Response Research [RAPID] grant)
University of Cambridge/ DIOSynVax/ PharmaJet,Pre-clinical,DNA-based,Great Britain,GBR,10/28/2020,Phase I expected to begin late fall 2020 or early 2021,Innovate UK
University of Georgia/ University of Iowa,Pre-clinical,Non-replicating viral vector,United States,USA,4/28/2020,Unknown,Unknown
University of Helsinki/ University of Eastern Finland/ Rokote Laboratories Finland Ltd,Pre-clinical,Non-replicating viral vector,Finland,FIN,3/28/2021,Unknown,Unknown
University of Manitoba,Pre-clinical,Replicating viral vector,Canada,CAN,11/9/2020,Unknown,Unknown
University of Manitoba,Pre-clinical,Virus-like particle,Canada,CAN,11/9/2020,Unknown,Unknown
"University of Oxford, Oxford Biomedica, Vaccines Manufacturing and Innovation Centre, Pall Life Sciences, Cobra Biologics, HalixBV, Advent s.r.l., Merck KGaA, the Serum Institute, Vaccitech, Catalent, CSL, and AstraZeneca/IQVIA",Authorized,Non-replicating viral vector,Great Britain,GBR,7/6/2021,"Tolerability and immunogenicity results after a late second dose or a third dose released on 6/28/2021; Real-world data on vaccine effectiveness against hospitalizations due to the Delta variant released 6/14/2021; Japan granted authorization for ""emergency use"" on 5/21/2021; EMA updated guidance on very rare side effects announced 4/7/2021; Phase II dosing paused in children between the ages of 6 and 17 years pending MHRA review as of 4/6/2021; Phase III primary analysis (U.S. trial) results announced 3/25/2021; Phase III interim analysis (U.S. trial) results announced 3/22/2021; World Health Organization (WHO) granted Emergency Use Listing (EUL) on 2/15/2021; Phase II study in children between the ages of 6 and 17 years expected to begin in February 2021; Phase III (U.K., Brazil) and Phase I/II (U.K., South Africa) analyses data released on 2/3/2021; European Union (EU) granted ""conditional marketing authorisation"" on 1/29/2021; Brazil granted ""temporary authorization for emergency use"" on 1/17/2021; Pakistan granted ""emergency use authorization"" on 1/15/2021; India granted ""emergency use authorisation"" as well as Dominican Republic, El Salvador, Mexico and Morocco as of 1/6/2021; Argentina authorized under ""emergency registration"" on 12/30/2020;  U.K. ""authorised for emergency supply"" on 12/30/2020; Phase I/II data (w/ booster dose) published on 12/17/2020; Phase III trials interim analysis results published 12/8/2020; Phase II/III (COV002) and Phase III (COV003) trial pooled interim analysis results released on 11/23/2020; Phase II/III trial interim results released Nov 2020; Study protocol for late-stage clinical trials released September 2020; AstraZeneca clinical trials resumed globally (in the UK on 9/14/2020, Brazil and South Africa on 9/15/2020, Japan on 10/2/2020, and the US on 10/23/2020); AstraZeneca voluntarily paused vaccination to allow independent review of safety data on 9/8/2020; Phase III trial began Jun 2020 and expanded into US in Aug 2020; Phase II/III began May 2020; Phase I/II trial interim results released Jul 2020; Selected for US Operation Warp Speed in May 2020","Coalition for Epidemic Preparedness Innovations (CEPI)/ UK Government/ Biomedical Advanced Research and Development Authority (BARDA)/ Gavi, the Vaccine Alliance"
